title,A_1,A_2,A_3,A_4,A_5,Y
no_act_2(0),-0.887,-0.858,-0.804,-0.81,-0.789,0
no_act_2(1),-0.876,-0.778,-0.823,-0.811,-0.766,0
no_act_2(2),-0.87,-0.811,-0.814,-0.787,-0.813,0
no_act_2(3),-0.89,-0.814,-0.804,-0.778,-0.793,0
no_act_2(4),-0.914,-0.803,-0.825,-0.791,-0.791,0
no_act_2(5),-0.898,-0.8,-0.786,-0.795,-0.816,0
no_act_2(6),-0.905,-0.774,-0.796,-0.786,-0.796,0
no_act_2(7),-0.899,-0.804,-0.818,-0.782,-0.799,0
no_act_2(8),-0.855,-0.815,-0.792,-0.759,-0.793,0
no_act_2(9),-0.815,-0.843,-0.794,-0.835,-0.819,0
no_act_2(10),-0.809,-0.828,-0.82,-0.826,-0.805,0
no_act_2(11),-0.9,-0.823,-0.79,-0.78,-0.817,0
no_act_2(12),-0.913,-0.807,-0.813,-0.785,-0.775,0
no_act_2(13),-0.938,-0.817,-0.8,-0.805,-0.801,0
no_act_2(14),-0.902,-0.819,-0.817,-0.777,-0.786,0
no_act_2(15),-0.858,-0.85,-0.799,-0.799,-0.834,0
no_act_2(16),-0.877,-0.823,-0.822,-0.801,-0.819,0
no_act_2(17),-0.911,-0.769,-0.82,-0.77,-0.83,0
no_act_2(18),-0.887,-0.78,-0.809,-0.84,-0.776,0
no_act_2(19),-0.814,-0.823,-0.855,-0.802,-0.775,0
no_act_2(20),-0.811,-0.814,-0.823,-0.827,-0.79,0
no_act_2(21),-0.804,-0.85,-0.812,-0.82,-0.831,0
no_act_2(22),-0.912,-0.778,-0.82,-0.791,-0.807,0
no_act_2(23),-0.92,-0.818,-0.805,-0.783,-0.801,0
no_act_2(24),-0.93,-0.795,-0.767,-0.777,-0.8,0
no_act_2(25),-0.893,-0.779,-0.797,-0.796,-0.771,0
no_act_2(26),-0.835,-0.79,-0.801,-0.793,-0.804,0
no_act_2(27),-0.86,-0.78,-0.805,-0.776,-0.811,0
no_act_2(28),-0.91,-0.823,-0.814,-0.791,-0.804,0
no_act_2(29),-0.898,-0.802,-0.798,-0.779,-0.791,0
no_act_2(30),-0.815,-0.832,-0.803,-0.811,-0.785,0
no_act_2(31),-0.808,-0.838,-0.795,-0.804,-0.784,0
no_act_2(32),-0.825,-0.802,-0.791,-0.794,-0.788,0
no_act_2(33),-0.916,-0.769,-0.776,-0.8,-0.777,0
no_act_2(34),-0.904,-0.827,-0.773,-0.78,-0.792,0
no_act_2(35),-0.917,-0.786,-0.798,-0.757,-0.78,0
no_act_2(36),-0.912,-0.759,-0.811,-0.791,-0.766,0
no_act_2(37),-0.8,-0.803,-0.816,-0.798,-0.828,0
no_act_2(38),-0.837,-0.801,-0.784,-0.799,-0.798,0
no_act_2(39),-0.894,-0.779,-0.791,-0.779,-0.776,0
no_act_2(40),-0.792,-0.852,-0.821,-0.8,-0.802,0
no_act_2(41),-0.829,-0.813,-0.813,-0.824,-0.775,0
no_act_2(42),-0.852,-0.799,-0.763,-0.76,-0.828,0
no_act_2(43),-0.844,-0.827,-0.765,-0.8,-0.807,0
no_act_2(44),-0.882,-0.822,-0.808,-0.764,-0.795,0
no_act_2(45),-0.91,-0.814,-0.785,-0.805,-0.809,0
no_act_2(46),-0.906,-0.814,-0.802,-0.804,-0.786,0
no_act_2(47),-0.844,-0.842,-0.776,-0.812,-0.789,0
no_act_2(48),-0.793,-0.86,-0.806,-0.785,-0.782,0
no_act_2(49),-0.818,-0.828,-0.788,-0.777,-0.793,0
no_act_2(50),-0.897,-0.818,-0.791,-0.788,-0.809,0
no_act_2(51),-0.921,-0.833,-0.822,-0.748,-0.824,0
no_act_2(52),-0.849,-0.852,-0.814,-0.79,-0.807,0
no_act_2(53),-0.834,-0.823,-0.791,-0.8,-0.813,0
no_act_2(54),-0.784,-0.79,-0.814,-0.775,-0.814,0
no_act_2(55),-0.933,-0.861,-0.794,-0.779,-0.817,0
no_act_2(56),-0.925,-0.828,-0.802,-0.795,-0.768,0
no_act_2(57),-0.917,-0.836,-0.822,-0.828,-0.794,0
no_act_2(58),-0.908,-0.834,-0.799,-0.813,-0.842,0
no_act_2(59),-0.883,-0.838,-0.803,-0.754,-0.802,0
no_act_2(60),-0.843,-0.824,-0.815,-0.785,-0.813,0
no_act_2(61),-0.912,-0.801,-0.774,-0.802,-0.825,0
no_act_2(62),-0.911,-0.83,-0.836,-0.799,-0.814,0
no_act_2(63),-0.812,-0.802,-0.812,-0.814,-0.798,0
no_act_2(64),-0.813,-0.798,-0.788,-0.78,-0.818,0
no_act_2(65),-0.814,-0.749,-0.832,-0.819,-0.824,0
no_act_2(66),-0.872,-0.803,-0.762,-0.779,-0.768,0
no_act_2(67),-0.916,-0.76,-0.791,-0.792,-0.773,0
no_act_2(68),-0.904,-0.806,-0.795,-0.8,-0.796,0
no_act_2(69),-0.851,-0.82,-0.802,-0.778,-0.814,0
no_act_2(70),-0.829,-0.813,-0.771,-0.804,-0.799,0
no_act_2(71),-0.808,-0.861,-0.818,-0.803,-0.819,0
no_act_2(72),-0.919,-0.79,-0.783,-0.814,-0.793,0
no_act_2(73),-0.867,-0.792,-0.789,-0.82,-0.766,0
no_act_2(74),-0.808,-0.816,-0.784,-0.802,-0.8,0
no_act_2(75),-0.827,-0.824,-0.803,-0.82,-0.82,0
no_act_2(76),-0.85,-0.796,-0.817,-0.765,-0.787,0
no_act_2(77),-0.924,-0.822,-0.798,-0.78,-0.828,0
no_act_2(78),-0.892,-0.802,-0.761,-0.804,-0.785,0
no_act_2(79),-0.901,-0.774,-0.817,-0.798,-0.777,0
no_act_2(80),-0.862,-0.84,-0.773,-0.793,-0.821,0
no_act_2(81),-0.839,-0.811,-0.809,-0.798,-0.808,0
no_act_2(82),-0.792,-0.827,-0.82,-0.766,-0.835,0
no_act_2(83),-0.867,-0.816,-0.778,-0.802,-0.822,0
no_act_2(84),-0.854,-0.833,-0.823,-0.808,-0.818,0
no_act_2(85),-0.82,-0.851,-0.786,-0.846,-0.778,0
no_act_2(86),-0.838,-0.802,-0.836,-0.775,-0.832,0
no_act_2(87),-0.841,-0.787,-0.799,-0.805,-0.833,0
no_act_2(88),-0.945,-0.786,-0.775,-0.792,-0.83,0
no_act_2(89),-0.942,-0.793,-0.815,-0.797,-0.77,0
no_act_2(90),-0.879,-0.836,-0.798,-0.797,-0.821,0
no_act_2(91),-0.815,-0.812,-0.83,-0.817,-0.812,0
no_act_2(92),-0.799,-0.805,-0.79,-0.804,-0.791,0
no_act_2(93),-0.796,-0.785,-0.798,-0.829,-0.795,0
no_act_2(94),-0.883,-0.799,-0.767,-0.794,-0.777,0
no_act_2(95),-0.937,-0.8,-0.821,-0.787,-0.781,0
no_act_2(96),-0.892,-0.815,-0.783,-0.783,-0.807,0
no_act_2(97),-0.835,-0.795,-0.84,-0.817,-0.797,0
no_act_2(98),-0.787,-0.814,-0.783,-0.81,-0.812,0
no_act_2(99),-0.856,-0.819,-0.797,-0.828,-0.819,0
no_act_2(100),-0.893,-0.788,-0.781,-0.848,-0.837,0
no_act_2(101),-0.918,-0.777,-0.79,-0.808,-0.796,0
no_act_2(102),-0.898,-0.839,-0.775,-0.77,-0.81,0
no_act_2(103),-0.868,-0.805,-0.785,-0.822,-0.795,0
no_act_2(104),-0.881,-0.858,-0.807,-0.849,-0.797,0
no_act_2(105),-0.895,-0.815,-0.8,-0.805,-0.851,0
no_act_2(106),-0.944,-0.81,-0.797,-0.801,-0.84,0
no_act_2(107),-0.836,-0.83,-0.802,-0.813,-0.812,0
no_act_2(108),-0.844,-0.786,-0.826,-0.822,-0.824,0
no_act_2(109),-0.809,-0.827,-0.811,-0.798,-0.809,0
no_act_2(110),-0.918,-0.817,-0.825,-0.777,-0.776,0
no_act_2(111),-0.902,-0.791,-0.78,-0.827,-0.772,0
no_act_2(112),-0.905,-0.782,-0.832,-0.843,-0.767,0
no_act_2(113),-0.911,-0.824,-0.785,-0.796,-0.797,0
